,name,stars,img,owner,repo_name
240,kensho-technologies/pyctcdecode,444,https://avatars.githubusercontent.com/u/26574236?s=40&v=4,kensho-technologies,pyctcdecode
241,harvardnlp/namedtensor,444,https://avatars.githubusercontent.com/u/13152953?s=40&v=4,harvardnlp,namedtensor
242,mozillazg/pypy,440,https://avatars.githubusercontent.com/u/485054?s=40&v=4,mozillazg,pypy
243,kragniz/python-etcd3,438,https://avatars.githubusercontent.com/u/735008?s=40&v=4,kragniz,python-etcd3
244,google/heir,434,https://avatars.githubusercontent.com/u/1342004?s=40&v=4,google,heir
245,vmprof/vmprof-python,432,https://avatars.githubusercontent.com/u/10184195?s=40&v=4,vmprof,vmprof-python
246,YuanGongND/ltu,430,https://avatars.githubusercontent.com/u/17163494?s=40&v=4,YuanGongND,ltu
247,mapbox/mercantile,425,https://avatars.githubusercontent.com/u/600935?s=40&v=4,mapbox,mercantile
248,scott-griffiths/bitstring,424,https://avatars.githubusercontent.com/u/11528142?s=40&v=4,scott-griffiths,bitstring
249,gigamonkey/monorepoize,423,https://avatars.githubusercontent.com/u/250053?s=40&v=4,gigamonkey,monorepoize
250,pkunlp-icler/FastV,418,https://avatars.githubusercontent.com/u/61374085?s=40&v=4,pkunlp-icler,FastV
251,CyberAgentAILab/cmaes,417,https://avatars.githubusercontent.com/u/88431400?s=40&v=4,CyberAgentAILab,cmaes
252,persimmon-ai-labs/adept-inference,415,https://avatars.githubusercontent.com/u/98357397?s=40&v=4,persimmon-ai-labs,adept-inference
253,Mause/duckdb_engine,415,https://avatars.githubusercontent.com/u/1405026?s=40&v=4,Mause,duckdb_engine
254,gilch/hissp,412,https://avatars.githubusercontent.com/u/3346292?s=40&v=4,gilch,hissp
255,pymtl/pymtl3,409,https://avatars.githubusercontent.com/u/61431688?s=40&v=4,pymtl,pymtl3
256,chaoyi-wu/Finetune_LLAMA,400,https://avatars.githubusercontent.com/u/27877721?s=40&v=4,chaoyi-wu,Finetune_LLAMA
257,xk-huang/yet-another-vectornet,396,https://avatars.githubusercontent.com/u/33593707?s=40&v=4,xk-huang,yet-another-vectornet
258,taskcluster/taskcluster,389,https://avatars.githubusercontent.com/u/6257436?s=40&v=4,taskcluster,taskcluster
259,MooreThreads/torch_musa,388,https://avatars.githubusercontent.com/u/85613129?s=40&v=4,MooreThreads,torch_musa
260,tryexceptpass/sofi,388,https://avatars.githubusercontent.com/u/12687166?s=40&v=4,tryexceptpass,sofi
261,Corvia/django-tenant-users,386,https://avatars.githubusercontent.com/u/3905572?s=40&v=4,Corvia,django-tenant-users
262,ustwo/mastermind,385,https://avatars.githubusercontent.com/u/625384?s=40&v=4,ustwo,mastermind
263,landlab/landlab,383,https://avatars.githubusercontent.com/u/7543483?s=40&v=4,landlab,landlab
264,quickstrom/quickstrom,383,https://avatars.githubusercontent.com/u/69889619?s=40&v=4,quickstrom,quickstrom
265,rcarriga/vim-ultest,383,https://avatars.githubusercontent.com/u/24252670?s=40&v=4,rcarriga,vim-ultest
266,cole/aiosmtplib,377,https://avatars.githubusercontent.com/u/134694?s=40&v=4,cole,aiosmtplib
267,microsoft/Qcodes,371,https://avatars.githubusercontent.com/u/6154722?s=40&v=4,microsoft,Qcodes
268,mesalock-linux/mesapy,371,https://avatars.githubusercontent.com/u/34010907?s=40&v=4,mesalock-linux,mesapy
269,MagNet-DL/magnet,360,https://avatars.githubusercontent.com/u/42930275?s=40&v=4,MagNet-DL,magnet
270,jazzband/django-eav2,359,https://avatars.githubusercontent.com/u/15129049?s=40&v=4,jazzband,django-eav2
271,curvefi/curve-dao-contracts,352,https://avatars.githubusercontent.com/u/59866658?s=40&v=4,curvefi,curve-dao-contracts
272,tournesol-app/tournesol,350,https://avatars.githubusercontent.com/u/66132400?s=40&v=4,tournesol-app,tournesol
273,timothycrosley/hypothesis-auto,346,https://avatars.githubusercontent.com/u/2090154?s=40&v=4,timothycrosley,hypothesis-auto
274,Ascend/pytorch,345,https://avatars.githubusercontent.com/u/53141342?s=40&v=4,Ascend,pytorch
275,microsoft/onnxscript,345,https://avatars.githubusercontent.com/u/6154722?s=40&v=4,microsoft,onnxscript
276,SqueezeAILab/KVQuant,343,https://avatars.githubusercontent.com/u/92235103?s=40&v=4,SqueezeAILab,KVQuant
277,PKSHATechnology-Research/camphr,339,https://avatars.githubusercontent.com/u/60775342?s=40&v=4,PKSHATechnology-Research,camphr
278,tommikaikkonen/prettyprinter,339,https://avatars.githubusercontent.com/u/2487359?s=40&v=4,tommikaikkonen,prettyprinter
279,polm/cutlet,337,https://avatars.githubusercontent.com/u/286278?s=40&v=4,polm,cutlet
280,cunla/fakeredis-py,336,https://avatars.githubusercontent.com/u/3419721?s=40&v=4,cunla,fakeredis-py
281,aws-cloudformation/cloudformation-cli,331,https://avatars.githubusercontent.com/u/19900777?s=40&v=4,aws-cloudformation,cloudformation-cli
282,pymedphys/pymedphys,326,https://avatars.githubusercontent.com/u/47132275?s=40&v=4,pymedphys,pymedphys
283,PokeAPI/pokebase,325,https://avatars.githubusercontent.com/u/19692032?s=40&v=4,PokeAPI,pokebase
284,quic/aimet-model-zoo,321,https://avatars.githubusercontent.com/u/55295854?s=40&v=4,quic,aimet-model-zoo
285,pymor/pymor,317,https://avatars.githubusercontent.com/u/2758256?s=40&v=4,pymor,pymor
286,rocky/python-xdis,316,https://avatars.githubusercontent.com/u/8851?s=40&v=4,rocky,python-xdis
287,hadialqattan/pycln,308,https://avatars.githubusercontent.com/u/50833881?s=40&v=4,hadialqattan,pycln
288,NVIDIA/nvmath-python,307,https://avatars.githubusercontent.com/u/1728152?s=40&v=4,NVIDIA,nvmath-python
289,anibali/dsntnn,305,https://avatars.githubusercontent.com/u/226707?s=40&v=4,anibali,dsntnn
290,wildfish/django-star-ratings,301,https://avatars.githubusercontent.com/u/584286?s=40&v=4,wildfish,django-star-ratings
291,dsw/proquint,297,https://avatars.githubusercontent.com/u/48988?s=40&v=4,dsw,proquint
292,ALIGN-analoglayout/ALIGN-public,296,https://avatars.githubusercontent.com/u/42481706?s=40&v=4,ALIGN-analoglayout,ALIGN-public
293,chalk-diagrams/chalk,295,https://avatars.githubusercontent.com/u/110132403?s=40&v=4,chalk-diagrams,chalk
294,CounterpartyXCP/counterparty-core,293,https://avatars.githubusercontent.com/u/7490848?s=40&v=4,CounterpartyXCP,counterparty-core
295,dessa-oss/atlas,292,https://avatars.githubusercontent.com/u/55564993?s=40&v=4,dessa-oss,atlas
296,nucypher/pyUmbral,291,https://avatars.githubusercontent.com/u/24552990?s=40&v=4,nucypher,pyUmbral
297,eli5-org/eli5,290,https://avatars.githubusercontent.com/u/77699736?s=40&v=4,eli5-org,eli5
298,Scille/parsec-cloud,283,https://avatars.githubusercontent.com/u/7068462?s=40&v=4,Scille,parsec-cloud
299,peylnog/ContinuousSR,281,https://avatars.githubusercontent.com/u/49443790?s=40&v=4,peylnog,ContinuousSR
300,facebookincubator/ptr,281,https://avatars.githubusercontent.com/u/19538647?s=40&v=4,facebookincubator,ptr
301,merantix-momentum/squirrel-core,281,https://avatars.githubusercontent.com/u/98414099?s=40&v=4,merantix-momentum,squirrel-core
302,bionumpy/bionumpy,280,https://avatars.githubusercontent.com/u/115636236?s=40&v=4,bionumpy,bionumpy
303,Delta-F/DeltaTrader,280,https://avatars.githubusercontent.com/u/53426820?s=40&v=4,Delta-F,DeltaTrader
304,vyperlang/titanoboa,279,https://avatars.githubusercontent.com/u/57152025?s=40&v=4,vyperlang,titanoboa
305,CQCL/tket,278,https://avatars.githubusercontent.com/u/15688781?s=40&v=4,CQCL,tket
306,banteg/brownie-safe,274,https://avatars.githubusercontent.com/u/4562643?s=40&v=4,banteg,brownie-safe
307,servo/mozjs,274,https://avatars.githubusercontent.com/u/2566135?s=40&v=4,servo,mozjs
308,BBVA/apicheck,274,https://avatars.githubusercontent.com/u/15799038?s=40&v=4,BBVA,apicheck
309,flyteorg/flytekit,273,https://avatars.githubusercontent.com/u/35380635?s=40&v=4,flyteorg,flytekit
310,DRMacIver/shrinkray,266,https://avatars.githubusercontent.com/u/28623?s=40&v=4,DRMacIver,shrinkray
311,banteg/multicall.py,264,https://avatars.githubusercontent.com/u/4562643?s=40&v=4,banteg,multicall.py
312,python-jsonschema/hypothesis-jsonschema,264,https://avatars.githubusercontent.com/u/100241624?s=40&v=4,python-jsonschema,hypothesis-jsonschema
313,pbrod/numdifftools,264,https://avatars.githubusercontent.com/u/1193469?s=40&v=4,pbrod,numdifftools
314,mozilla-firefox/firefox,263,https://avatars.githubusercontent.com/u/148481591?s=40&v=4,mozilla-firefox,firefox
315,Stranger6667/css-inline,263,https://avatars.githubusercontent.com/u/1236561?s=40&v=4,Stranger6667,css-inline
316,ppb/pursuedpybear,261,https://avatars.githubusercontent.com/u/32312759?s=40&v=4,ppb,pursuedpybear
317,adaszko/complgen,258,https://avatars.githubusercontent.com/u/165678?s=40&v=4,adaszko,complgen
318,zenml-io/mlstacks,255,https://avatars.githubusercontent.com/u/88676955?s=40&v=4,zenml-io,mlstacks
319,gjoseph92/stackstac,255,https://avatars.githubusercontent.com/u/3309802?s=40&v=4,gjoseph92,stackstac
320,sgkit-dev/sgkit,255,https://avatars.githubusercontent.com/u/67019846?s=40&v=4,sgkit-dev,sgkit
321,software-mansion/protostar,251,https://avatars.githubusercontent.com/u/56880679?s=40&v=4,software-mansion,protostar
322,public/sonora,250,https://avatars.githubusercontent.com/u/83000?s=40&v=4,public,sonora
323,ethereum/eth-abi,250,https://avatars.githubusercontent.com/u/6250754?s=40&v=4,ethereum,eth-abi
324,biocypher/biocypher,249,https://avatars.githubusercontent.com/u/128412897?s=40&v=4,biocypher,biocypher
325,ClusterHQ/dvol,249,https://avatars.githubusercontent.com/u/7913449?s=40&v=4,ClusterHQ,dvol
326,basilevh/gcd,248,https://avatars.githubusercontent.com/u/18504625?s=40&v=4,basilevh,gcd
327,abunuwas/microservice-apis,247,https://avatars.githubusercontent.com/u/12152494?s=40&v=4,abunuwas,microservice-apis
328,tlsfuzzer/tlslite-ng,247,https://avatars.githubusercontent.com/u/74566338?s=40&v=4,tlsfuzzer,tlslite-ng
329,tweag/FawltyDeps,244,https://avatars.githubusercontent.com/u/6057932?s=40&v=4,tweag,FawltyDeps
330,xorq-labs/xorq,243,https://avatars.githubusercontent.com/u/144843371?s=40&v=4,xorq-labs,xorq
331,readthedocs/commonmark.py,240,https://avatars.githubusercontent.com/u/366329?s=40&v=4,readthedocs,commonmark.py
332,MartinThoma/algorithms,239,https://avatars.githubusercontent.com/u/1658117?s=40&v=4,MartinThoma,algorithms
333,ask/mode,238,https://avatars.githubusercontent.com/u/1558?s=40&v=4,ask,mode
334,mirror/vbox,232,https://avatars.githubusercontent.com/u/40007?s=40&v=4,mirror,vbox
335,dylanljones/pyrekordbox,232,https://avatars.githubusercontent.com/u/39274612?s=40&v=4,dylanljones,pyrekordbox
